Category,Product Group,Item Code,Item Name,OEMCode,HSNCode,Brand,Size,RSP,MRP,OSP,Vendor,CreateDate,LastModifiedDate,GST%,CESS
BOOKS,BUSINESS & MANAGEMENT,WP03185,REORG: HOW TO GET IT RIGHT,"9781633692237,BBH13111",4901,IBD,VN4641,1125,1250,1250,IBD,18.Jan.22,18.Jan.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03186,ADIYOGI: THE SOURCE OF YOGA,"9789352643929,BBH13114",4901,HARPERCOLLINS,VN0850,240,299,299,HARPERCOLLINS,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP03187,CHALT JOHATHAN: AUDACITY,"9780062426970,BBH13115",4901,HARPERCOLLINS,GX6371,940,1175,1175,HARPERCOLLINS,18.Jan.22,5.Sep.22,0,0
BOOKS,BUSINESS & MANAGEMENT,WP14947,GOD'S OWN KITCHEN:,"9789385724848,BBH13120",4901,WESTLAND,VN1613,280,350,350,WESTLAND,25.Apr.22,25.Apr.22,0,0
NON BOOKS,BOOK ACCESSORIES,WP03189,CLOTHESPIN CLIP LIGHT WHITE,"612615071117,BBH13124",95030090,IF CARDBORD CREATIONS LTD.,BL03,699,699,699,CHITRA - KIKERLAND,18.Jan.22,18.Jan.22,12,0
NON BOOKS,BOOK ACCESSORIES,WP03190,SLIM BOOK LAMP - BLACK (D),"612615065826,BBH13131",95030090,IF CARDBORD CREATIONS LTD.,BL05-BK,799,799,799,CHITRA - KIKERLAND,18.Jan.22,18.Jan.22,12,0
NON BOOKS,BOOK ACCESSORIES,WP03191,CABLE TIES - SET OF 8 TIES,"612615071254,BBH13133",95030090,IF CARDBORD CREATIONS LTD.,US79,349,349,349,CHITRA - KIKERLAND,18.Jan.22,18.Jan.22,12,0
NON BOOKS,BOOK ACCESSORIES,WP03192,DRY ERASE BOARD IPAD - GREEN,"612615076532,BBH13136",95030090,IF CARDBORD CREATIONS LTD.,MH71-A,449,449,449,CHITRA - KIKERLAND,18.Jan.22,18.Jan.22,12,0
NON BOOKS,BOOK ACCESSORIES,WP03193,SCUBA CONTACT LENS CASE,"612615078079,BBH13140",95030090,IF CARDBORD CREATIONS LTD.,WG88,449,449,449,CHITRA - KIKERLAND,18.Jan.22,18.Jan.22,12,0
NON BOOKS,BOOK ACCESSORIES,WP03194,VIEN CHAIR PAPER CLIP HOLDER,"612615068544,BBH13144",95030090,IF CARDBORD CREATIONS LTD.,MH45-R,599,599,599,CHITRA - KIKERLAND,18.Jan.22,18.Jan.22,12,0
NON BOOKS,TOY,WP03195,"SIMBA - DOCTOR+ DOCTOR""S CASE 10 PCS. PLASTIC DOCTOR CASE","4006592525781,BBH13169",95030090,SIMBA,UNDEFINED,1599,1599,1599,SIMBA,18.Jan.22,18.Jan.22,12,0
NON BOOKS,GENERAL.,WP03196,ZERO COKE CAN  330ML,"BBH13173,8901764111112",22021010,OM ENTERPRISE,UNDEFINED,100,100,100,OM ENTERPRISE,18.Jan.22,23.Sep.22,18,0
BOOKS,BUSINESS & MANAGEMENT,WP03197,"SAVING CAPITALISM: FOR THE MANY, NOT THE FEW","9781785781766,BBH13243",4901,IBD,BH2813,449,499,499,IBD,18.Jan.22,18.Jan.22,0,0
BOOKS,FICTION,WP18578,REIGNITED: SCIENTIFIC PATHWAYS TO A BRIGHTER FUTURE,"9780143429692,BBH13250",4901,PENGUIN,VN10416,140,175,175,PENGUIN,15.Jun.22,21.Jun.22,0,0
BOOKS,LITERATURE & FICTION,WP18535,LANDOUR DAYS,"9780143429760,BBH13264",4901,PENGUIN,UNDEFINED,200,250,250,PENGUIN,14.Jun.22,21.Jun.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03198,BBH:EARLY LEARNING ACTIVITY BOOK PIRATE & ANIMALS (2 VOL SET),"9780312503468,BBH13273",4901,WILCO INTERNATIONAL,BH1573,249,499,249,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,COMICS & GRAPHIC NOVELS,WP03199,BBHA:5-MIN FANCY NANCY STORIES,"9780062412164,BBH13279",4901,WILCO INTERNATIONAL,BH1563,399,699,699,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,COMICS & GRAPHIC NOVELS,WP03200,BBHA:ARCHIE VS. PREDATOR,"9781616558055,BBH13281",4901,WILCO INTERNATIONAL,BH1572,479,599,599,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03201,HB:GIANT BOOK OF SPOT WHAT!,"9781488931765,BBH13286",4901,WILCO INTERNATIONAL,HB0940,599,799,799,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03202,HB:WRITE & WIPE SERIES,BBH13287,4901,WILCO INTERNATIONAL,HB0935,108,135,135,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP03203,IG:5 LITTLE DUCKS,"9781785577222,BBH13288",4901,WILCO INTERNATIONAL,IG0358,239,299,299,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP03204,IG:5 LITTLE SHEEP,"9781785577239,BBH13289",4901,WILCO INTERNATIONAL,IG0359,239,299,299,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03205,IG:ACTIVITY SET:FUNKY ERASERS (STK),"9781785577680,BBH13290",4901,WILCO INTERNATIONAL,IG0357,299,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03206,IG:ACTIVITY SET:SUPER COOL STAMPERS (STK),"9781785577697,BBH13291",4901,WILCO INTERNATIONAL,IG0356,299,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN,WP18954,IG:PRINCESS WORLD (STK),"9781781973691,BBH13292",4901,WILCO INTERNATIONAL,IG0360,299,599,299,WILCO INTERNATIONAL,5.Jul.22,5.Jul.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03207,MAD SCIENTIST KIT (STK),"3456064239,BBH13295",4901,WILCO INTERNATIONAL,GX2352,399,895,895,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP03208,THE RISE OF SIVAGAMI,"9789386224446,BBH13316",4901,WESTLAND,VN0622,240,299,299,WESTLAND,18.Jan.22,18.Jan.22,0,0
BOOKS,ARCHITECTURE/DESIGN/INTERIORS.,WP03209,BBH:TN:DES BOUVRIE:ARCHITECTURE INTERIOR,"9783832732615,BBH13323",4901,WILCO INTERNATIONAL,GX2348,2966,3708,3708,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,REFERENCE BOOKS,WP03210,BBH:TN:FORMULA 1:WORLD CHAMPIONS,"9783832796129,BBH13326",4901,WILCO INTERNATIONAL,GX2347,4750,5937,5937,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,ARCHITECTURE/DESIGN/INTERIORS.,WP03211,BBH:TN:LARAS BOLANDER:INTERIOR DESIGN & INSPIRATION,"9783832796549,BBH13329",4901,WILCO INTERNATIONAL,GX2345,4750,5937,5937,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,ARCHITECTURE/DESIGN/INTERIORS.,WP03212,BBH:TN:MODERN LIVING,"9783832734206,BBH13331",4901,WILCO INTERNATIONAL,GX2339,2669,2965,2965,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,FASHION/PHOTOGRAPHY,WP03213,BBH:TN:SUPERYACHT BOOK,"9783832734312,BBH13333",4901,WILCO INTERNATIONAL,GX2342,4006,4451,4451,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,JEWELLERY-GEMSTONES,WP14948,BBH:TN:SWAROVSKI CRYSTAL PALACE:ART OF LIGHT & CRYSTAL,"9783832794163,BBH13334",4901,WILCO INTERNATIONAL,GX2346,5343,5937,5937,WILCO INTERNATIONAL,25.Apr.22,25.Apr.22,0,0
BOOKS,FASHION/PHOTOGRAPHY,WP03214,BBH:TN:WATCH BOOK II,"9783832734213,BBH13336",4901,WILCO INTERNATIONAL,GX2344,3708,3708,3708,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
NON BOOKS,Stationery,WP18288,Luminary - Pink Notebook,"8906065883164,BBH13356",40201090,Doodle,UNDEFINED,545,545,545,DOODLE,16.May.22,16.May.22,12,0
NON BOOKS,STATIONERY,WP03215,LUMINARY - YELLOW NOTEBOOK,"8906065883157,BBH13357",40201090,DOODLE,UNDEFINED,545,545,545,DOODLE,18.Jan.22,18.Jan.22,12,0
NON BOOKS,STATIONERY,WP03216,FLYING START - PLANNER,"8906065882990,BBH13359",40201090,DOODLE,UNDEFINED,495,495,495,DOODLE,18.Jan.22,18.Jan.22,12,0
NON BOOKS,Stationery,WP18252,Scribble & Sketch - Off White,"8906065882976,BBH13360",40201090,Doodle,UNDEFINED,725,725,725,DOODLE,16.May.22,16.May.22,12,0
NON BOOKS,STATIONERY,WP14949,SCRIBBLE & SKETCH - WOODY BROWN,"8906065882969,BBH13361",40201090,DOODLE,UNDEFINED,725,725,725,DOODLE,25.Apr.22,25.Apr.22,12,0
NON BOOKS,STATIONERY,WP03217,ADVENTURES OF THE MIND - NOTEBOOK,"8906065882549,BBH13362",40201090,DOODLE,UNDEFINED,445,445,445,DOODLE,18.Jan.22,18.Jan.22,12,0
NON BOOKS,Stationery,WP18289,Believe in the Road - Notebook,"8906065882525,BBH13363",40201090,Doodle,UNDEFINED,345,345,345,DOODLE,16.May.22,16.May.22,12,0
NON BOOKS,Stationery,WP18253,Unapologetically You - Notebook,"8906065882532,BBH13367",40201090,Doodle,UNDEFINED,345,345,345,DOODLE,16.May.22,16.May.22,12,0
NON BOOKS,STATIONERY,WP03218,UNBOUNDED - NOTEBOOK,"8906065882501,BBH13368",40201090,DOODLE,UNDEFINED,345,345,345,DOODLE,18.Jan.22,18.Jan.22,12,0
BOOKS,COMICS & GRAPHIC NOVELS,WP14950,MYTHS OF INDIA - VOL. 2,"9789385152412,BBH13369",4901,WESTLAND,VN8785,535,595,595,WESTLAND,25.Apr.22,25.Apr.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03219,7 SECRETS FROM HINDU CALENDAR ART DEVDUT (B-FORMAT),"9789386224026,BBH13374",4901,WESTLAND,VN0860,359,399,359,WESTLAND,18.Jan.22,18.Jan.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03220,7 SECRETS OF SHIVA - DEVDUTT PATTANAIK (B-FORMAT),"9789386224040,BBH13375,9789395073080",4901,WESTLAND BOOKS,VN0862,399,499,499,WESTLAND BOOKS,18.Jan.22,26.Sep.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03221,7 SECRETS OF VISHNU - DEVDUTT PATTANAIK (B-FORMAT),"9789386224057,BBH13376",4901,WESTLAND,VN0863,359,399,399,WESTLAND,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP03222,PATHWAYS TO GREATNESS A.P.J. ABDUL KALAM,"9789352643837,BBH13378",4901,HARPERCOLLINS,VN0849,239,299,299,HARPERCOLLINS,18.Jan.22,23.Jun.22,0,0
BOOKS,NON-FICTION,WP03223,ISRO: A PERSONAL HISTORY,"9789352643639,BBH13379",4901,HARPERCOLLINS,VN5026,559,699,699,HARPERCOLLINS,18.Jan.22,18.Jan.22,0,0
BOOKS,BIOGRAPHY-AUTOBIOGRAPHY,WP14951,ON STAGE WITH LATA,"9789352643165,BBH13380",4901,HARPERCOLLINS,UNDEFINED,269,299,299,HARPERCOLLINS,25.Apr.22,25.Apr.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03224,7 SECRETS OF THE GODDESS (B-FORMAT),"9789386224033,BBH13386",4901,WESTLAND,VN0861,320,399,399,WESTLAND,18.Jan.22,18.Jan.22,0,0
